organ,organ_id,as,as_label,sex,tool,modality,cell_id,cell_label,cell_count,cell_percentage,dataset_count,anatomical_structure_of,source_spatial_entity,node_name,label,OntologyID,node_type,glb file of single organs,Ref/1,Ref/1/ID,combo,color
Left kidney,http://purl.obolibrary.org/obo/UBERON_0004538,http://purl.obolibrary.org/obo/UBERON_0001228,renal papilla,Male,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000084,T cell,14.406,0.001890946741352456,3,#VHMLeftKidney,#VHMaleOrgans,VH_M_renal_papilla_L,renal papilla,UBERON:0001228,organizational,VH_M_Kidney_L,,,Left kidney_renal papilla_T cell,#77762b
Left kidney,http://purl.obolibrary.org/obo/UBERON_0004538,http://purl.obolibrary.org/obo/UBERON_0001228,renal papilla,Male,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000097,mast cell,0.686,9.004508292154553e-05,3,#VHMLeftKidney,#VHMaleOrgans,VH_M_renal_papilla_L,renal papilla,UBERON:0001228,organizational,VH_M_Kidney_L,,,Left kidney_renal papilla_mast cell,#44537d
Left kidney,http://purl.obolibrary.org/obo/UBERON_0004538,http://purl.obolibrary.org/obo/UBERON_0001228,renal papilla,Male,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000236,B cell,0.15,1.968915807322424e-05,3,#VHMLeftKidney,#VHMaleOrgans,VH_M_renal_papilla_L,renal papilla,UBERON:0001228,organizational,VH_M_Kidney_L,,,Left kidney_renal papilla_B cell,#ced833
Left kidney,http://purl.obolibrary.org/obo/UBERON_0004538,http://purl.obolibrary.org/obo/UBERON_0001228,renal papilla,Male,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000786,plasma cell,4.952000000000001,0.0006500047385240431,3,#VHMLeftKidney,#VHMaleOrgans,VH_M_renal_papilla_L,renal papilla,UBERON:0001228,organizational,VH_M_Kidney_L,,,Left kidney_renal papilla_plasma cell,#a6d5f7
Left kidney,http://purl.obolibrary.org/obo/UBERON_0004538,http://purl.obolibrary.org/obo/UBERON_0001228,renal papilla,Male,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000814,mature NK T cell,0.15,1.968915807322424e-05,3,#VHMLeftKidney,#VHMaleOrgans,VH_M_renal_papilla_L,renal papilla,UBERON:0001228,organizational,VH_M_Kidney_L,,,Left kidney_renal papilla_mature NK T cell,#896492
Left kidney,http://purl.obolibrary.org/obo/UBERON_0004538,http://purl.obolibrary.org/obo/UBERON_0001228,renal papilla,Male,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000875,non-classical monocyte,0.3,3.937831614644848e-05,3,#VHMLeftKidney,#VHMaleOrgans,VH_M_renal_papilla_L,renal papilla,UBERON:0001228,organizational,VH_M_Kidney_L,,,Left kidney_renal papilla_non-classical monocyte,#5a0b7f
Left kidney,http://purl.obolibrary.org/obo/UBERON_0004538,http://purl.obolibrary.org/obo/UBERON_0001228,renal papilla,Male,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000890,M2 macrophage,101.528,0.01332667227238874,3,#VHMLeftKidney,#VHMaleOrgans,VH_M_renal_papilla_L,renal papilla,UBERON:0001228,organizational,VH_M_Kidney_L,,,Left kidney_renal papilla_M2 macrophage,#c6e8bc
Left kidney,http://purl.obolibrary.org/obo/UBERON_0004538,http://purl.obolibrary.org/obo/UBERON_0001228,renal papilla,Male,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0002201,renal beta-intercalated cell,2.55,0.0003347156872448121,3,#VHMLeftKidney,#VHMaleOrgans,VH_M_renal_papilla_L,renal papilla,UBERON:0001228,organizational,VH_M_Kidney_L,,,Left kidney_renal papilla_renal beta-intercalated cell,#994b4f
Left kidney,http://purl.obolibrary.org/obo/UBERON_0004538,http://purl.obolibrary.org/obo/UBERON_0001228,renal papilla,Male,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0011031,monocyte-derived dendritic cell,6.624,0.0008694732205135825,3,#VHMLeftKidney,#VHMaleOrgans,VH_M_renal_papilla_L,renal papilla,UBERON:0001228,organizational,VH_M_Kidney_L,,,Left kidney_renal papilla_monocyte-derived dendritic cell,#11860b
Left kidney,http://purl.obolibrary.org/obo/UBERON_0004538,http://purl.obolibrary.org/obo/UBERON_0001228,renal papilla,Male,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000597,papillary tips cell,0.15,1.968915807322424e-05,3,#VHMLeftKidney,#VHMaleOrgans,VH_M_renal_papilla_L,renal papilla,UBERON:0001228,organizational,VH_M_Kidney_L,,,Left kidney_renal papilla_papillary tips cell,#18b8d1
