,organ,as,as_label,sex,tool,modality,cell_id,cell_label,cell_count,cell_percentage,dataset_count,anatomical_structure_of,source_spatial_entity,node_name,label,OntologyID,node_type,glb file of single organs,Ref/1,Ref/1/ID
0,prostate,http://purl.obolibrary.org/obo/UBERON_0000998,seminal vesicle,Male,popv,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,157.95,0.3199726113978721,2,#VHMProstate,#VHMaleOrgans,VH_M_seminal_vesicle,seminal vesicle,UBERON:0000998,mesh,VH_M_Prostate,,
1,prostate,http://purl.obolibrary.org/obo/UBERON_0000998,seminal vesicle,Male,popv,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0002341,basal cell of prostate epithelium,128.7,0.2607184241019699,2,#VHMProstate,#VHMaleOrgans,VH_M_seminal_vesicle,seminal vesicle,UBERON:0000998,mesh,VH_M_Prostate,,
2,prostate,http://purl.obolibrary.org/obo/UBERON_0000998,seminal vesicle,Male,popv,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000625,"CD8-positive, alpha-beta T cell",56.86199999999999,0.115190140103234,2,#VHMProstate,#VHMaleOrgans,VH_M_seminal_vesicle,seminal vesicle,UBERON:0000998,mesh,VH_M_Prostate,,
3,prostate,http://purl.obolibrary.org/obo/UBERON_0000998,seminal vesicle,Male,popv,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0002340,luminal cell of prostate epithelium,38.688,0.07837353839671338,2,#VHMProstate,#VHMaleOrgans,VH_M_seminal_vesicle,seminal vesicle,UBERON:0000998,mesh,VH_M_Prostate,,
4,prostate,http://purl.obolibrary.org/obo/UBERON_0000998,seminal vesicle,Male,popv,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000158,club cell,32.812,0.06647003054882546,2,#VHMProstate,#VHMaleOrgans,VH_M_seminal_vesicle,seminal vesicle,UBERON:0000998,mesh,VH_M_Prostate,,
5,prostate,http://purl.obolibrary.org/obo/UBERON_0000998,seminal vesicle,Male,popv,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell,21.372,0.04329505951753924,2,#VHMProstate,#VHMaleOrgans,VH_M_seminal_vesicle,seminal vesicle,UBERON:0000998,mesh,VH_M_Prostate,,
6,prostate,http://purl.obolibrary.org/obo/UBERON_0000998,seminal vesicle,Male,popv,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000235,macrophage,19.344,0.03918676919835669,2,#VHMProstate,#VHMaleOrgans,VH_M_seminal_vesicle,seminal vesicle,UBERON:0000998,mesh,VH_M_Prostate,,
7,prostate,http://purl.obolibrary.org/obo/UBERON_0000998,seminal vesicle,Male,popv,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000814,mature NK T cell,14.638,0.02965342884230486,2,#VHMProstate,#VHMaleOrgans,VH_M_seminal_vesicle,seminal vesicle,UBERON:0000998,mesh,VH_M_Prostate,,
8,prostate,http://purl.obolibrary.org/obo/UBERON_0000998,seminal vesicle,Male,popv,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000192,smooth muscle cell,9.594,0.01943537343305594,2,#VHMProstate,#VHMaleOrgans,VH_M_seminal_vesicle,seminal vesicle,UBERON:0000998,mesh,VH_M_Prostate,,
9,prostate,http://purl.obolibrary.org/obo/UBERON_0000998,seminal vesicle,Male,popv,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000057,fibroblast,7.358,0.01490572000421363,2,#VHMProstate,#VHMaleOrgans,VH_M_seminal_vesicle,seminal vesicle,UBERON:0000998,mesh,VH_M_Prostate,,
10,prostate,http://purl.obolibrary.org/obo/UBERON_0000998,seminal vesicle,Male,popv,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000038,erythroid progenitor cell,2.73,0.005530390814284209,2,#VHMProstate,#VHMaleOrgans,VH_M_seminal_vesicle,seminal vesicle,UBERON:0000998,mesh,VH_M_Prostate,,
11,prostate,http://purl.obolibrary.org/obo/UBERON_0000998,seminal vesicle,Male,popv,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000576,monocyte,2.366,0.004793005372379647,2,#VHMProstate,#VHMaleOrgans,VH_M_seminal_vesicle,seminal vesicle,UBERON:0000998,mesh,VH_M_Prostate,,
12,prostate,http://purl.obolibrary.org/obo/UBERON_0000998,seminal vesicle,Male,popv,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000499,stromal cell,1.222,0.002475508269251027,2,#VHMProstate,#VHMaleOrgans,VH_M_seminal_vesicle,seminal vesicle,UBERON:0000998,mesh,VH_M_Prostate,,
13,Left kidney,http://purl.obolibrary.org/obo/UBERON_0001228,renal papilla,Male,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000718,Inner Medullary Collecting Duct,2747.700000000001,0.3606659975853218,3,#VHFLeftKidneyV1.1,#VHFemaleOrgans,VH_F_renal_papilla_L,renal papilla,UBERON:0001228,organizational,VH_F_Kidney_L,,
14,Left kidney,http://purl.obolibrary.org/obo/UBERON_0001228,renal papilla,Male,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000718,Inner Medullary Collecting Duct,2747.700000000001,0.3606659975853218,3,#VHFLeftKidneyV1.1,#VHFemaleOrgans,VH_F_renal_papilla_L_a,renal papilla,UBERON:0001228,surface,VH_F_Kidney_L,,
15,Left kidney,http://purl.obolibrary.org/obo/UBERON_0001228,renal papilla,Male,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000718,Inner Medullary Collecting Duct,2747.700000000001,0.3606659975853218,3,#VHFLeftKidneyV1.1,#VHFemaleOrgans,VH_F_renal_papilla_L_b,renal papilla,UBERON:0001228,surface,VH_F_Kidney_L,,
