organ,overlap_type,as_ct_count
heart,only_hra_pop,549
heart,only_asctb,186
heart,both,0
kidney,only_hra_pop,542
kidney,only_asctb,70
kidney,both,0
knee,only_hra_pop,136
knee,only_asctb,10
knee,both,0
large-intestine,only_hra_pop,910
large-intestine,only_asctb,154
large-intestine,both,0
liver,only_hra_pop,255
liver,only_asctb,31
liver,both,0
lung,only_hra_pop,2855
lung,only_asctb,101
lung,both,0
lymph-node,only_hra_pop,175
lymph-node,only_asctb,82
lymph-node,both,0
mammary gland,only_hra_pop,183
mammary gland,only_asctb,0
mammary gland,both,0
ovary,only_hra_pop,115
ovary,only_asctb,41
ovary,both,0
pancreas,only_hra_pop,275
pancreas,only_asctb,29
pancreas,both,0
prostate,only_hra_pop,572
prostate,only_asctb,16
prostate,both,0
skin,only_hra_pop,80
skin,only_asctb,57
skin,both,0
small-intestine,only_hra_pop,1027
small-intestine,only_asctb,92
small-intestine,both,0
spleen,only_hra_pop,105
spleen,only_asctb,125
spleen,both,0
thymus,only_hra_pop,152
thymus,only_asctb,64
thymus,both,0
ureter,only_hra_pop,158
ureter,only_asctb,11
ureter,both,0
urinary-bladder,only_hra_pop,112
urinary-bladder,only_asctb,11
urinary-bladder,both,0
uterus,only_hra_pop,303
uterus,only_asctb,23
uterus,both,0
