gene_label,gene
ABCC9,http://identifiers.org/hgnc/60
ACAN,http://identifiers.org/hgnc/319
ACKR1,http://identifiers.org/hgnc/4035
ACKR1,https://purl.org/ccf/ASCTB-TEMP_ackr1
ACTA2,http://identifiers.org/hgnc/130
ACTA2,https://purl.org/ccf/ASCTB-TEMP_acta2
ACTG2,http://identifiers.org/hgnc/145
ACTG2,https://purl.org/ccf/ASCTB-TEMP_actg2
ADAMTS5,http://identifiers.org/hgnc/221
ADGRL4,http://identifiers.org/hgnc/20822
AGER,http://identifiers.org/hgnc/320
AHSP,http://identifiers.org/hgnc/18075
ALAS2,http://identifiers.org/hgnc/397
AMY2A,http://identifiers.org/hgnc/477
APOD,http://identifiers.org/hgnc/612
AR,http://identifiers.org/hgnc/644
ARX,http://identifiers.org/hgnc/18060
BANK1,http://identifiers.org/hgnc/18233
BID,http://identifiers.org/hgnc/1050
C1QB,http://identifiers.org/hgnc/1242
C1QC,http://identifiers.org/hgnc/1245
CALCA,http://identifiers.org/hgnc/1437
CALML3,http://identifiers.org/hgnc/1452
CCL19,http://identifiers.org/hgnc/10617
CCL2,http://identifiers.org/hgnc/10618
CCL21,http://identifiers.org/hgnc/10620
CCL5,http://identifiers.org/hgnc/10632
CCL5,https://purl.org/ccf/ASCTB-TEMP_ccl5
CCR7,http://identifiers.org/hgnc/1608
CD14,http://identifiers.org/hgnc/1628
CD14,https://purl.org/ccf/ASCTB-TEMP_cd14
CD163,http://identifiers.org/hgnc/1631
CD163,https://purl.org/ccf/ASCTB-TEMP_cd163
CD19,http://identifiers.org/hgnc/1633
CD19,https://purl.org/ccf/ASCTB-TEMP_cd19
CD1A,http://identifiers.org/hgnc/1634
CD1B,http://identifiers.org/hgnc/1635
CD1C,http://identifiers.org/hgnc/1636
CD2,http://identifiers.org/hgnc/1639
CD2,https://purl.org/ccf/ASCTB-TEMP_cd2
CD28,http://identifiers.org/hgnc/1653
CD300E,http://identifiers.org/hgnc/28874
CD34,http://identifiers.org/hgnc/1662
CD34,https://purl.org/ccf/ASCTB-TEMP_cd34
CD38,http://identifiers.org/hgnc/1667
CD3D,http://identifiers.org/hgnc/1673
CD3D,https://purl.org/ccf/ASCTB-TEMP_cd3d
CD3E,http://identifiers.org/hgnc/1674
CD3G,http://identifiers.org/hgnc/1675
CD3G,https://purl.org/ccf/ASCTB-TEMP_cd3g
CD4,http://identifiers.org/hgnc/1678
CD4,https://purl.org/ccf/ASCTB-TEMP_cd4
CD40LG,http://identifiers.org/hgnc/11935
CD5,http://identifiers.org/hgnc/1685
CD5,https://purl.org/ccf/ASCTB-TEMP_cd5
CD68,http://identifiers.org/hgnc/1693
CD68,https://purl.org/ccf/ASCTB-TEMP_cd68
CD79B,http://identifiers.org/hgnc/1699
CD8A,http://identifiers.org/hgnc/1706
CD8A,https://purl.org/ccf/ASCTB-TEMP_cd8a
CD8B,http://identifiers.org/hgnc/1707
CD96,http://identifiers.org/hgnc/16892
CDH5,http://identifiers.org/hgnc/1764
