"tool","sex","organ","as","cell_label2","asct_relation_in_asctb_table","indirect_asct_relation_in_asctb_table","count","median_cell_count","median_percentage"
"Azimuth","Female","Lung","Lateral Bronchopulmonary Segment","ASCTB-TEMP:interstitial-m-perivascular: Interstitial Mφ perivascular","false","false",1,117.369,0.015379746835443
"Azimuth","Female","Lung","Lateral Bronchopulmonary Segment","ASCTB-TEMP:monocyte-derived-m: Monocyte-derived Mφ","false","false",1,386.4,0.0506329113924051
"Azimuth","Female","Lung","Lateral Bronchopulmonary Segment","ASCTB-TEMP:non-classical-monocytes: Non-classical monocytes","false","false",1,545.307,0.0714556962025317
"Azimuth","Female","Lung","Lateral Bronchopulmonary Segment","ASCTB-TEMP:transitional-club-at2: Transitional Club-AT2","false","false",1,36.225,0.00474683544303797
"Azimuth","Female","Lung","Lateral Bronchopulmonary Segment","CL:0000084: T cell:cycling","false","true",2,6.762,0.000886075949367089
"Azimuth","Female","Lung","Lateral Bronchopulmonary Segment","CL:0000084: T cell:proliferating","false","true",3,6.762,0.000886075949367089
"Azimuth","Female","Lung","Lateral Bronchopulmonary Segment","CL:0000097: mast cell","false","true",1,8.694,0.00113924050632911
"Azimuth","Female","Lung","Lateral Bronchopulmonary Segment","CL:0000158: club cell:nasal","false","true",2,0.483,0.0000632911392405063
"Azimuth","Female","Lung","Lateral Bronchopulmonary Segment","CL:0000158: club cell:non-nasal","false","true",1,0.483,0.0000632911392405063
"Azimuth","Female","Lung","Lateral Bronchopulmonary Segment","CL:0000158: club cell:tracheobronchial","false","true",1,0.483,0.0000632911392405063
"Azimuth","Female","Lung","Lateral Bronchopulmonary Segment","CL:0000158: club cell:transitional alveolar type 2 epithelial cell","false","true",1,0.483,0.0000632911392405063
"Azimuth","Female","Lung","Lateral Bronchopulmonary Segment","CL:0000158: club:transitional AT2","false","true",1,0.483,0.0000632911392405063
"Azimuth","Female","Lung","Lateral Bronchopulmonary Segment","CL:0000186: myofibroblast cell","false","true",1,129.444,0.0169620253164557
"Azimuth","Female","Lung","Lateral Bronchopulmonary Segment","CL:0000192: smooth muscle cell","false","true",1,31.395,0.00411392405063291
"Azimuth","Female","Lung","Lateral Bronchopulmonary Segment","CL:0000192: smooth muscle cell:1","false","true",1,31.395,0.00411392405063291
"Azimuth","Female","Lung","Lateral Bronchopulmonary Segment","CL:0000192: smooth muscle cell:2","false","true",1,31.395,0.00411392405063291
"Azimuth","Female","Lung","Lateral Bronchopulmonary Segment","CL:0000192: smooth muscle cell:activated stress response","false","true",2,31.395,0.00411392405063291
"Azimuth","Female","Lung","Lateral Bronchopulmonary Segment","CL:0000236: B cell","false","true",1,214.452,0.0281012658227848
"Azimuth","Female","Lung","Lateral Bronchopulmonary Segment","CL:0000236: B cell:activated","false","true",1,214.452,0.0281012658227848
"Azimuth","Female","Lung","Lateral Bronchopulmonary Segment","CL:0000313: seromucus secreting cell:submucosal gland nasal","false","false",1,11.109,0.00145569620253165
"Azimuth","Female","Lung","Lateral Bronchopulmonary Segment","CL:0000313: serous secreting cell","false","false",1,11.109,0.00145569620253165
"Azimuth","Female","Lung","Lateral Bronchopulmonary Segment","CL:0000313: serous secreting cell:nasal","false","false",1,11.109,0.00145569620253165
"Azimuth","Female","Lung","Lateral Bronchopulmonary Segment","CL:0000492: CD4-positive helper T cell:1","false","true",1,393.645,0.0515822784810127
"Azimuth","Female","Lung","Lateral Bronchopulmonary Segment","CL:0000492: CD4-positive helper T cell:2","false","true",1,393.645,0.0515822784810127
"Azimuth","Female","Lung","Lateral Bronchopulmonary Segment","CL:0000576: monocyte:1","false","true",1,173.88,0.0227848101265823
"Azimuth","Female","Lung","Lateral Bronchopulmonary Segment","CL:0000576: monocyte:2","false","true",1,173.88,0.0227848101265823
"Azimuth","Female","Lung","Lateral Bronchopulmonary Segment","CL:0000583: alveolar macrophage","false","true",1,128.478,0.0168354430379747
"Azimuth","Female","Lung","Lateral Bronchopulmonary Segment","CL:0000583: alveolar macrophage:proliferating","false","true",2,128.478,0.0168354430379747
"Azimuth","Female","Lung","Lateral Bronchopulmonary Segment","CL:0000623: natural killer cell","false","true",1,2.415,0.000316455696202532
"Azimuth","Female","Lung","Lateral Bronchopulmonary Segment","CL:0000623: natural killer cell:CD16-negative, CD56-dim","false","true",1,2.415,0.000316455696202532
"Azimuth","Female","Lung","Lateral Bronchopulmonary Segment","CL:0000623: natural killer cell:CD16-positive, CD56-negative","false","true",1,2.415,0.000316455696202532
"Azimuth","Female","Lung","Lateral Bronchopulmonary Segment","CL:0000623: natural killer cell:proliferating","false","true",3,2.415,0.000316455696202532
"Azimuth","Female","Lung","Lateral Bronchopulmonary Segment","CL:0000913: effector memory CD8-positive, alpha-beta T cell:activated resident memory","false","true",1,518.742,0.0679746835443038
"Azimuth","Female","Lung","Lateral Bronchopulmonary Segment","CL:0000913: effector memory CD8-positive, alpha-beta T cell:follicular","false","true",1,518.742,0.0679746835443038
"Azimuth","Female","Lung","Lateral Bronchopulmonary Segment","CL:0000913: effector memory CD8-positive, alpha-beta T cell:Interferon positive","false","true",1,518.742,0.0679746835443038
"Azimuth","Female","Lung","Lateral Bronchopulmonary Segment","CL:0000913: effector memory CD8-positive, alpha-beta T cell:resident memory","false","true",1,518.742,0.0679746835443038
"Azimuth","Female","Lung","Lateral Bronchopulmonary Segment","CL:0002062: type I pneumocyte","false","true",1,1298.787,0.170189873417721
"Azimuth","Female","Lung","Lateral Bronchopulmonary Segment","CL:0002063: type II pneumocyte","false","true",1,972.279,0.127405063291139
"Azimuth","Female","Lung","Lateral Bronchopulmonary Segment","CL:0002063: type II pneumocyte:proliferating","false","true",2,972.279,0.127405063291139
"Azimuth","Female","Lung","Lateral Bronchopulmonary Segment","CL:0002075: brush cell of trachebronchial tree","false","false",1,2.415,0.000316455696202532
