"organ","as","as_id","cell_id"
"Liver","Gastric Impression of Liver","FMA:14487","CL:0000057"
"Liver","Gastric Impression of Liver","FMA:14487","CL:0000084"
"Liver","Gastric Impression of Liver","FMA:14487","CL:0000115"
"Liver","Gastric Impression of Liver","FMA:14487","CL:0000182"
"Liver","Gastric Impression of Liver","FMA:14487","CL:0000235"
"Liver","Gastric Impression of Liver","FMA:14487","CL:0000236"
"Liver","Gastric Impression of Liver","FMA:14487","CL:0000576"
"Liver","Gastric Impression of Liver","FMA:14487","CL:0000623"
"Liver","Gastric Impression of Liver","FMA:14487","CL:0000767"
"Liver","Gastric Impression of Liver","FMA:14487","CL:0000775"
"Liver","Gastric Impression of Liver","FMA:14487","CL:0000784"
"Liver","Gastric Impression of Liver","FMA:14487","CL:0000786"
"Liver","Gastric Impression of Liver","FMA:14487","CL:0000814"
"Liver","Gastric Impression of Liver","FMA:14487","CL:0002394"
"Liver","Gastric Impression of Liver","FMA:14487","CL:0002399"
"Liver","Gastric Impression of Liver","FMA:14487","CL:0002538"
"Liver","Gastric Impression of Liver","FMA:14487","CL:0011031"
"Liver","Gastric Impression of Liver","FMA:14487","CL:1000398"
"Liver","Gastric Impression of Liver","FMA:14487","CL:1000488"
"Liver","Gastric Impression of Liver","FMA:14487","CL:2000055"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:-cells-ins-"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:activated-cd4-t"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:activated-cd8-t"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:activated-t"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:adult-glia"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:angiogenic-pericyte"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:arterial-capillary"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:b"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:best2-goblet-cell"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:best4-epithelial"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:branch-a1-imn-"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:branch-a2-ipan-in-"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:branch-a3-ipan-in-"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:branch-a4-in-"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:branch-b1-emn-"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:branch-b2-emn-"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:branch-b3-ipan-"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:cd4-t-cell"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:cd57-enterocyte"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:cd66-enterocyte"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:cd7-immune"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:cd8-t"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:cd8-tmem"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:cdc1"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:cdc2"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:clc-mast-cell"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:cldn10-cells"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:clp"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:colonocyte"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:contractile-pericyte-pln-"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:cycling-b-cell"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:cycling-ec"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:cycling-encc-glia"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:cycling-neuroblast"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:cycling-plasma-cell"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:cycling-ta"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:d-cells-sst-"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:dc"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:differentiating-glia"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:distal-progenitor"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:dz-gc-cell"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:ec-cells-npw-"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:ec-cells-tac1-"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:eecs"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:encc-glia-progenitor"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:endothelial"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:enterocyte"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:fcrl4-memory-b"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:fdc"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:fetal-arterial-ec"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:fetal-venous-ec"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:gc-b-cell"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:germ"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:glia-1-dhh-"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:glia-2-eln-"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:glia-3-bcan-"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:goblet"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:goblet-cell"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:i-cells-cck-"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:icc"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:iga-plasma-cell"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:igg-plasma-cell"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:ilc2"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:ilc3"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:ilcp"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:immature-b"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:immature-pericyte"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:k-cells-gip-"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:l-cells-pyy-"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:lec1-ackr4-"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:lec2-madcam1-"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:lec3-adgrg3-"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:lec4-stab2-"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:lec5-cldn11-"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:lec6-adamts4-"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:lti-like-ncr-ilc3"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:lymphatic"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:lymphoid-dc"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:lyve1-macrophage"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:lz-gc-cell"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:m-x-cells-mln-ghrl-"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:m1-macrophage"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:m2-macrophage"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:macrophages"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:mait-cell"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:mast-cell"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:mature-arterial-ec"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:mature-venous-ec"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:megakaryocyte"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:memory-b"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:mesoderm-1-hand1-"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:mesothelium"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:mesothelium-rgs5-"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:microfold-cell"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:mln-stroma-fmo2-"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:mlto"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:mmp9-inflammatory-macrophage"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:monocytes"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:mpo-mono-neutrophil"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:muc1-enterocyte"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:myofibroblast"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:myofibroblast-rspo2-"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:n-cells-nts-"
