source,target,distance
VH_F_minor_calyx_R_e,VH_F_minor_calyx_R_f,-1
VH_F_major_calyx_R_a,VH_F_major_calyx_R_b,-1
VH_F_renal_pelvis_R,VH_F_right_ureter,-1
VH_F_major_calyx_R_b,VH_F_minor_calyx_R_f,-1
VH_F_major_calyx_R_c,VH_F_minor_calyx_R_i,-1
VH_F_major_calyx_R_c,VH_F_minor_calyx_R_g,-1
VH_F_major_calyx_R_a,VH_F_renal_pelvis_R,-1
VH_F_major_calyx_R_a,VH_F_minor_calyx_R_d,-1
VH_F_minor_calyx_R_c,VH_F_minor_calyx_R_d,-1
VH_F_minor_calyx_R_b,VH_F_minor_calyx_R_d,-1
VH_F_major_calyx_R_c,VH_F_minor_calyx_R_h,-1
VH_F_major_calyx_R_b,VH_F_minor_calyx_R_e,-1
VH_F_minor_calyx_R_a,VH_F_minor_calyx_R_b,-1
VH_F_major_calyx_R_a,VH_F_minor_calyx_R_c,-1
VH_F_major_calyx_R_a,VH_F_minor_calyx_R_b,-1
VH_F_major_calyx_R_a,VH_F_minor_calyx_R_a,-1
VH_F_major_calyx_R_b,VH_F_renal_pelvis_R,-1
VH_F_minor_calyx_R_b,VH_F_minor_calyx_R_c,-1
VH_F_major_calyx_R_c,VH_F_renal_pelvis_R,-1
VH_F_major_calyx_R_c,VH_F_minor_calyx_R_j,-1
