source,target,distance
VH_M_lateral_epicondylar_enthesis_L,VH_M_lateral_perichondular_surface_L,-1
VH_M_femur_L,VH_M_lateral_perichondular_surface_L,-1
VH_M_articular_cartilage_of_knee_L,VH_M_lateral_condyle_of_femur_frontal_L,-1
VH_M_femur_L,VH_M_intercondylar_fossa_L,-1
VH_M_anterior_cruciate_enthesis_L,VH_M_femur_L,-1
VH_M_anterior_cruciate_enthesis_L,VH_M_lateral_condyle_of_femur_inf_L,-1
VH_M_distal_most_point_of_medial_condyle_of_femur_L,VH_M_meniscus_L,-1
VH_M_intercondylar_fossa_L,VH_M_posterior_cruciate_enthesis_L,-1
VH_M_articular_cartilage_of_knee_L,VH_M_lateral_condyle_of_femur_sup_L,-1
VH_M_distal_most_point_of_medial_condyle_of_femur_L,VH_M_intercondylar_fossa_L,-1
VH_M_meniscus_L,VH_M_tibia_L,-1
VH_M_articular_cartilage_of_knee_L,VH_M_patellar_surface_L,-1
VH_M_articular_cartilage_of_knee_L,VH_M_distal_most_point_of_medial_condyle_of_femur_L,-1
VH_M_articular_cartilage_of_knee_L,VH_M_medial_condyle_of_left_femur_inf,-1
VH_M_lateral_condyle_of_femur_frontal_L,VH_M_posterior_cruciate_enthesis_L,-1
VH_M_femur_L,VH_M_medial_epicondylar_enthesis_L,-1
VH_M_anterior_cruciate_enthesis_L,VH_M_lateral_condyle_of_femur_frontal_L,-1
VH_M_lateral_condyle_of_femur_frontal_L,VH_M_meniscus_L,-1
VH_M_articular_cartilage_of_knee_L,VH_M_tibia_L,-1
VH_M_femur_L,VH_M_medial_perichondular_surface_L,-1
VH_M_lateral_condyle_of_femur_sup_L,VH_M_patellar_surface_L,-1
VH_M_femur_L,VH_M_lateral_epicondylar_enthesis_L,-1
VH_M_articular_cartilage_of_knee_L,VH_M_posterior_cruciate_enthesis_L,-1
VH_M_articular_cartilage_of_knee_L,VH_M_meniscus_L,-1
VH_M_articular_cartilage_of_knee_L,VH_M_femur_L,-1
VH_M_medial_condyle_of_left_femur_sup,VH_M_patellar_surface_L,-1
VH_M_articular_cartilage_of_knee_L,VH_M_lateral_condyle_of_femur_inf_L,-1
VH_M_femur_L,VH_M_posterior_cruciate_enthesis_L,-1
VH_M_anterior_cruciate_enthesis_L,VH_M_articular_cartilage_of_knee_L,-1
VH_M_articular_cartilage_of_knee_L,VH_M_intercondylar_fossa_L,-1
VH_M_articular_cartilage_of_knee_L,VH_M_medial_condyle_of_left_femur_sup,-1
VH_M_distal_most_point_of_medial_condyle_of_femur_L,VH_M_tibia_L,-1
VH_M_medial_epicondylar_enthesis_L,VH_M_medial_perichondular_surface_L,-1
VH_M_anterior_cruciate_enthesis_L,VH_M_posterior_cruciate_enthesis_L,-1
VH_M_distal_most_point_of_medial_condyle_of_femur_L,VH_M_posterior_cruciate_enthesis_L,-1
VH_M_intercondylar_fossa_L,VH_M_medial_condyle_of_left_femur_inf,-1
