source,target,distance
VH_M_minor_calyx_R_a,VH_M_minor_calyx_R_b,-1
VH_M_major_calyx_R_a,VH_M_minor_calyx_R_a,-1
VH_M_major_calyx_R_a,VH_M_minor_calyx_R_c,-1
VH_M_major_calyx_R_a,VH_M_renal_pelvis_R,-1
VH_M_minor_calyx_R_f,VH_M_minor_calyx_R_h,-1
VH_M_major_calyx_R_b,VH_M_minor_calyx_R_h,-1
VH_M_major_calyx_R_b,VH_M_renal_pelvis_R,-1
VH_M_major_calyx_R_a,VH_M_minor_calyx_R_e,-1
VH_M_minor_calyx_R_g,VH_M_minor_calyx_R_i,-1
VH_M_major_calyx_R_a,VH_M_minor_calyx_R_d,-1
VH_M_renal_pelvis_R,VH_M_ureter_R,-1
VH_M_major_calyx_R_b,VH_M_minor_calyx_R_i,-1
VH_M_minor_calyx_R_f,VH_M_minor_calyx_R_g,-1
VH_M_major_calyx_R_b,VH_M_minor_calyx_R_f,-1
VH_M_minor_calyx_R_h,VH_M_minor_calyx_R_i,-1
VH_M_major_calyx_R_b,VH_M_minor_calyx_R_g,-1
VH_M_minor_calyx_R_b,VH_M_minor_calyx_R_c,-1
VH_M_major_calyx_R_a,VH_M_minor_calyx_R_b,-1
VH_M_minor_calyx_R_g,VH_M_minor_calyx_R_h,-1
VH_M_minor_calyx_R_g,VH_M_renal_pelvis_R,-1
