"id","id_lab","label","tool","type","partOf","records","cell_count"
0,"FMA:7267 Posteromedial Head of Posterior Papillary Muscle Of Left Ventricle","Posteromedial Head of Posterior Papillary Muscle Of Left Ventricle","popV","Anatomical Structure","Heart",6,3464.175
1,"UBERON:0002078 Right Cardiac Atrium","Right Cardiac Atrium","popV","Anatomical Structure","Heart",6,21773.1205
2,"UBERON:0002079 Left Cardiac Atrium","Left Cardiac Atrium","popV","Anatomical Structure","Heart",6,31466.241
3,"UBERON:0002080 Right Ventricle","Right Ventricle","popV","Anatomical Structure","Heart",6,43089.787
4,"UBERON:0002084 Left Ventricle","Left Ventricle","popV","Anatomical Structure","Heart",6,166432.4835
5,"UBERON:0002094 Interventricular Septum","Interventricular Septum","popV","Anatomical Structure","Heart",6,26748.928
6,"UBERON:0001052 Rectum","Rectum","popV","Anatomical Structure","Large Intestine",15,170.478
7,"UBERON:0001153 Caecum","Caecum","popV","Anatomical Structure","Large Intestine",16,698.64
8,"UBERON:0001156 Ascending Colon","Ascending Colon","popV","Anatomical Structure","Large Intestine",16,4880.531
9,"UBERON:0001157 Transverse Colon","Transverse Colon","popV","Anatomical Structure","Large Intestine",16,5079.548
10,"UBERON:0001158 Descending Colon","Descending Colon","popV","Anatomical Structure","Large Intestine",16,10184.381
11,"UBERON:0001159 Sigmoid Colon","Sigmoid Colon","popV","Anatomical Structure","Large Intestine",16,3556.303
12,"FMA:7360 Medial Bronchopulmonary Segment","Medial Bronchopulmonary Segment","popV","Anatomical Structure","Lung",34,325817.0675
13,"FMA:7361 Lateral Bronchopulmonary Segment","Lateral Bronchopulmonary Segment","popV","Anatomical Structure","Lung",35,205238.2
14,"FMA:7385 Left Apical Bronchopulmonary Segment","Left Apical Bronchopulmonary Segment","popV","Anatomical Structure","Lung",31,35284
15,"FMA:7402 Lateral Segmental Bronchus","Lateral Segmental Bronchus","popV","Anatomical Structure","Lung",33,7901.992
16,"FMA:14926 Superior part of Duodenum","Superior part of Duodenum","popV","Anatomical Structure","Small Intestine",16,324.662
17,"FMA:14928 Descending part of Duodenum","Descending part of Duodenum","popV","Anatomical Structure","Small Intestine",16,3016.401
18,"FMA:14929 Horizontal part of Duodenum","Horizontal part of Duodenum","popV","Anatomical Structure","Small Intestine",16,3563.954
19,"FMA:14930 Ascending part of Duodenum","Ascending part of Duodenum","popV","Anatomical Structure","Small Intestine",16,1578.2715
20,"FMA:14966 Distal part of Ileum","Distal part of Ileum","popV","Anatomical Structure","Small Intestine",15,8043.266
21,"UBERON:0002115 Jejunum","Jejunum","popV","Anatomical Structure","Small Intestine",16,3233.9375
22,"UBERON:0002116 Ileum","Ileum","popV","Anatomical Structure","Small Intestine",15,91.056
23,"CL:0000057","fibroblast","popV","Cell type","Organ(s): 3",17,65442.0195
24,"CL:0000071","blood vessel endothelial cell","popV","Cell type","Organ(s): 1",3,6.426
25,"CL:0000097","mast cell","popV","Cell type","Organ(s): 2",13,33.1765
26,"CL:0000131","gut endothelial cell","popV","Cell type","Organ(s): 2",13,1563.282
27,"CL:0000158","club cell","popV","Cell type","Organ(s): 1",4,22132.723
28,"CL:0000182","hepatocyte","popV","Cell type","Organ(s): 1",6,5218.5845
29,"CL:0000192","smooth muscle cell","popV","Cell type","Organ(s): 2",9,44036.1395
30,"CL:0000235","macrophage","popV","Cell type","Organ(s): 2",10,53556.1405
31,"CL:0000236","B cell","popV","Cell type","Organ(s): 3",17,1371.1095
32,"CL:0000359","vascular associated smooth muscle cell","popV","Cell type","Organ(s): 1",4,309.3905
33,"CL:0000451","dendritic cell","popV","Cell type","Organ(s): 1",4,321.1015
34,"CL:0000576","monocyte","popV","Cell type","Organ(s): 2",13,274.3605
35,"CL:0000624","CD4-positive, alpha-beta T cell","popV","Cell type","Organ(s): 3",17,104437.6805
36,"CL:0000625","CD8-positive, alpha-beta T cell","popV","Cell type","Organ(s): 3",17,4141.256
37,"CL:0000646","basal cell","popV","Cell type","Organ(s): 1",4,6751.252
38,"CL:0000669","pericyte","popV","Cell type","Organ(s): 1",4,5378.114
39,"CL:0000746","cardiac muscle cell","popV","Cell type","Organ(s): 1",6,102466.2055
40,"CL:0000767","basophil","popV","Cell type","Organ(s): 1",4,6627.12
41,"CL:0000775","neutrophil","popV","Cell type","Organ(s): 3",17,8491.8415
42,"CL:0000784","plasmacytoid dendritic cell","popV","Cell type","Organ(s): 1",2,16.184
43,"CL:0000786","plasma cell","popV","Cell type","Organ(s): 3",17,1740.448
44,"CL:0000814","mature NK T cell","popV","Cell type","Organ(s): 1",4,2188.114
45,"CL:0000860","classical monocyte","popV","Cell type","Organ(s): 1",4,4131.279
46,"CL:0000875","non-classical monocyte","popV","Cell type","Organ(s): 1",4,2694.255
47,"CL:0001044","effector CD4-positive, alpha-beta T cell","popV","Cell type","Organ(s): 1",4,260.8175
48,"CL:0001050","effector CD8-positive, alpha-beta T cell","popV","Cell type","Organ(s): 1",4,5381.5215
49,"CL:0002062","type I pneumocyte","popV","Cell type","Organ(s): 1",4,50077.832
50,"CL:0002063","type II pneumocyte","popV","Cell type","Organ(s): 1",4,144720.5645
51,"CL:0002071","enterocyte of epithelium of large intestine","popV","Cell type","Organ(s): 1",6,11617.258
52,"CL:0002138","endothelial cell of lymphatic vessel","popV","Cell type","Organ(s): 1",4,2534.313
53,"CL:0002144","capillary endothelial cell","popV","Cell type","Organ(s): 1",4,83775.1625
54,"CL:0002370","respiratory goblet cell","popV","Cell type","Organ(s): 1",4,2491.0715
55,"CL:0002393","intermediate monocyte","popV","Cell type","Organ(s): 1",4,50.019
56,"CL:0002543","vein endothelial cell","popV","Cell type","Organ(s): 1",4,12634.905
57,"CL:0002548","fibroblast of cardiac tissue","popV","Cell type","Organ(s): 1",6,56961.537
58,"CL:0002598","bronchial smooth muscle cell","popV","Cell type","Organ(s): 1",4,1105.9575
59,"CL:0009006","enteroendocrine cell of small intestine","popV","Cell type","Organ(s): 1",7,67.4015
60,"CL:0009009","paneth cell of colon","popV","Cell type","Organ(s): 1",6,586.702
61,"CL:0009011","transit amplifying cell of colon","popV","Cell type","Organ(s): 1",6,515.3935
62,"CL:0009012","transit amplifying cell of small intestine","popV","Cell type","Organ(s): 1",7,32.3005
63,"CL:0009016","intestinal crypt stem cell of large intestine","popV","Cell type","Organ(s): 1",5,1.5205
64,"CL:0009017","intestinal crypt stem cell of small intestine","popV","Cell type","Organ(s): 1",5,7.8245
65,"CL:0009080","tuft cell of small intestine","popV","Cell type","Organ(s): 1",7,391.622
66,"CL:0010008","cardiac endothelial cell","popV","Cell type","Organ(s): 1",6,51578.4535
67,"CL:0017000","pulmonary ionocyte","popV","Cell type","Organ(s): 1",3,36.02
68,"CL:0019032","intestinal tuft cell","popV","Cell type","Organ(s): 1",6,1652.3325
69,"CL:1000271","lung ciliated cell","popV","Cell type","Organ(s): 1",4,16126.2255
70,"CL:1000320","large intestine goblet cell","popV","Cell type","Organ(s): 1",6,3769.72
71,"CL:1000331","serous cell of epithelium of bronchus","popV","Cell type","Organ(s): 1",2,462.33
72,"CL:1000334","enterocyte of epithelium of small intestine","popV","Cell type","Organ(s): 1",7,15501.0535
73,"CL:1000343","paneth cell of epithelium of small intestine","popV","Cell type","Organ(s): 1",7,700.3765
74,"CL:1000413","endothelial cell of artery","popV","Cell type","Organ(s): 1",4,2988.6455
75,"CL:1000495","small intestine goblet cell","popV","Cell type","Organ(s): 1",7,2035.285
76,"CL:1001516","intestinal enteroendocrine cell","popV","Cell type","Organ(s): 1",6,121.6945
77,"CL:2000016","lung microvascular endothelial cell","popV","Cell type","Organ(s): 1",4,78.0855
78,"CL:4028006","alveolar type 2 fibroblast cell","popV","Cell type","Organ(s): 1",4,45.275
