"organ","as_id","as","cell_label","datasets","mean_cell_count","cell_count","total_cell_count","percentage","tool"
"Large Intestine","UBERON:0001156","Ascending Colon","B",8,103.5,2706,209839,0.0129,"Spatial"
"Large Intestine","UBERON:0001156","Ascending Colon","CD4+ T cell",8,876,9640,209839,0.04594,"Spatial"
"Large Intestine","UBERON:0001156","Ascending Colon","CD57+ Enterocyte",8,4.5,66,209839,0.00031,"Spatial"
"Large Intestine","UBERON:0001156","Ascending Colon","CD66+ Enterocyte",8,1245,9872,209839,0.04705,"Spatial"
"Large Intestine","UBERON:0001156","Ascending Colon","CD7+ Immune",8,30,284,209839,0.00135,"Spatial"
"Large Intestine","UBERON:0001156","Ascending Colon","CD8+ T",8,898,9649,209839,0.04598,"Spatial"
"Large Intestine","UBERON:0001156","Ascending Colon","Cycling TA",8,836,7150,209839,0.03407,"Spatial"
"Large Intestine","UBERON:0001156","Ascending Colon","DC",8,293,3850,209839,0.01835,"Spatial"
"Large Intestine","UBERON:0001156","Ascending Colon","Endothelial",8,1639.5,14567,209839,0.06942,"Spatial"
"Large Intestine","UBERON:0001156","Ascending Colon","Enterocyte",8,3465.5,33001,209839,0.15727,"Spatial"
"Large Intestine","UBERON:0001156","Ascending Colon","Goblet",8,1318.5,13469,209839,0.06419,"Spatial"
"Large Intestine","UBERON:0001156","Ascending Colon","ICC",8,279.5,3097,209839,0.01476,"Spatial"
"Large Intestine","UBERON:0001156","Ascending Colon","Lymphatic",8,616.5,6395,209839,0.03048,"Spatial"
"Large Intestine","UBERON:0001156","Ascending Colon","M1 Macrophage",8,111,1917,209839,0.00914,"Spatial"
"Large Intestine","UBERON:0001156","Ascending Colon","M2 Macrophage",8,1152,9141,209839,0.04356,"Spatial"
"Large Intestine","UBERON:0001156","Ascending Colon","MUC1+ Enterocyte",8,329.5,2443,209839,0.01164,"Spatial"
"Large Intestine","UBERON:0001156","Ascending Colon","Nerve",8,618.5,6027,209839,0.02872,"Spatial"
"Large Intestine","UBERON:0001156","Ascending Colon","Neuroendocrine",8,56,961,209839,0.00458,"Spatial"
"Large Intestine","UBERON:0001156","Ascending Colon","Neutrophil",8,112.5,1756,209839,0.00837,"Spatial"
"Large Intestine","UBERON:0001156","Ascending Colon","NK",8,29.5,447,209839,0.00213,"Spatial"
"Large Intestine","UBERON:0001156","Ascending Colon","Paneth",8,1,20,209839,0.0001,"Spatial"
"Large Intestine","UBERON:0001156","Ascending Colon","Plasma",8,1440,12291,209839,0.05857,"Spatial"
"Large Intestine","UBERON:0001156","Ascending Colon","Smooth muscle",8,3945.5,36694,209839,0.17487,"Spatial"
"Large Intestine","UBERON:0001156","Ascending Colon","Stroma",8,2518,18442,209839,0.08789,"Spatial"
"Large Intestine","UBERON:0001156","Ascending Colon","TA",8,712.5,5954,209839,0.02837,"Spatial"
"Large Intestine","UBERON:0001157","Transverse Colon","B",8,106,1524,229737,0.00663,"Spatial"
"Large Intestine","UBERON:0001157","Transverse Colon","CD4+ T cell",8,935.5,8351,229737,0.03635,"Spatial"
"Large Intestine","UBERON:0001157","Transverse Colon","CD57+ Enterocyte",8,3,44,229737,0.00019,"Spatial"
"Large Intestine","UBERON:0001157","Transverse Colon","CD66+ Enterocyte",8,721.5,10803,229737,0.04702,"Spatial"
"Large Intestine","UBERON:0001157","Transverse Colon","CD7+ Immune",8,25.5,248,229737,0.00108,"Spatial"
"Large Intestine","UBERON:0001157","Transverse Colon","CD8+ T",8,811.5,8037,229737,0.03498,"Spatial"
"Large Intestine","UBERON:0001157","Transverse Colon","Cycling TA",8,889.5,9112,229737,0.03966,"Spatial"
"Large Intestine","UBERON:0001157","Transverse Colon","DC",8,402.5,3326,229737,0.01448,"Spatial"
"Large Intestine","UBERON:0001157","Transverse Colon","Endothelial",8,1944.5,17588,229737,0.07656,"Spatial"
"Large Intestine","UBERON:0001157","Transverse Colon","Enterocyte",8,3315,30719,229737,0.13371,"Spatial"
"Large Intestine","UBERON:0001157","Transverse Colon","Goblet",8,1768.5,16092,229737,0.07005,"Spatial"
"Large Intestine","UBERON:0001157","Transverse Colon","ICC",8,372,3811,229737,0.01659,"Spatial"
"Large Intestine","UBERON:0001157","Transverse Colon","Lymphatic",8,939.5,6963,229737,0.03031,"Spatial"
"Large Intestine","UBERON:0001157","Transverse Colon","M1 Macrophage",8,129,2669,229737,0.01162,"Spatial"
"Large Intestine","UBERON:0001157","Transverse Colon","M2 Macrophage",8,1550.5,12988,229737,0.05653,"Spatial"
"Large Intestine","UBERON:0001157","Transverse Colon","MUC1+ Enterocyte",8,173.5,1423,229737,0.00619,"Spatial"
"Large Intestine","UBERON:0001157","Transverse Colon","Nerve",8,1018.5,8508,229737,0.03703,"Spatial"
"Large Intestine","UBERON:0001157","Transverse Colon","Neuroendocrine",8,87.5,827,229737,0.0036,"Spatial"
"Large Intestine","UBERON:0001157","Transverse Colon","Neutrophil",8,39.5,951,229737,0.00414,"Spatial"
"Large Intestine","UBERON:0001157","Transverse Colon","NK",8,23.5,304,229737,0.00132,"Spatial"
"Large Intestine","UBERON:0001157","Transverse Colon","Paneth",8,1.5,344,229737,0.0015,"Spatial"
"Large Intestine","UBERON:0001157","Transverse Colon","Plasma",8,1236,12342,229737,0.05372,"Spatial"
"Large Intestine","UBERON:0001157","Transverse Colon","Smooth muscle",8,5489,41363,229737,0.18005,"Spatial"
"Large Intestine","UBERON:0001157","Transverse Colon","Stroma",8,3434,26605,229737,0.11581,"Spatial"
"Large Intestine","UBERON:0001157","Transverse Colon","TA",8,502.5,4795,229737,0.02087,"Spatial"
"Large Intestine","UBERON:0001158","Descending Colon","B",8,48.5,6356,329603,0.01928,"Spatial"
"Large Intestine","UBERON:0001158","Descending Colon","CD4+ T cell",8,1222,13864,329603,0.04206,"Spatial"
"Large Intestine","UBERON:0001158","Descending Colon","CD57+ Enterocyte",8,3,45,329603,0.00014,"Spatial"
"Large Intestine","UBERON:0001158","Descending Colon","CD66+ Enterocyte",8,1090.5,9159,329603,0.02779,"Spatial"
"Large Intestine","UBERON:0001158","Descending Colon","CD7+ Immune",8,44.5,670,329603,0.00203,"Spatial"
"Large Intestine","UBERON:0001158","Descending Colon","CD8+ T",8,1138,11654,329603,0.03536,"Spatial"
"Large Intestine","UBERON:0001158","Descending Colon","Cycling TA",8,2003,16935,329603,0.05138,"Spatial"
"Large Intestine","UBERON:0001158","Descending Colon","DC",8,434,4823,329603,0.01463,"Spatial"
"Large Intestine","UBERON:0001158","Descending Colon","Endothelial",8,2204.5,19991,329603,0.06065,"Spatial"
"Large Intestine","UBERON:0001158","Descending Colon","Enterocyte",8,3599.5,48313,329603,0.14658,"Spatial"
"Large Intestine","UBERON:0001158","Descending Colon","Goblet",8,2927,30197,329603,0.09162,"Spatial"
"Large Intestine","UBERON:0001158","Descending Colon","ICC",8,361,4454,329603,0.01351,"Spatial"
"Large Intestine","UBERON:0001158","Descending Colon","Lymphatic",8,611.5,7176,329603,0.02177,"Spatial"
"Large Intestine","UBERON:0001158","Descending Colon","M1 Macrophage",8,297.5,2747,329603,0.00833,"Spatial"
"Large Intestine","UBERON:0001158","Descending Colon","M2 Macrophage",8,1578,13466,329603,0.04086,"Spatial"
